,rotation,ra,dec,cx,cy,cz,raErr,decErr,raDecCorr,b,l,offsetRa_u,offsetRa_g,offsetRa_r,offsetRa_i,offsetRa_z,offsetDec_u,offsetDec_g,offsetDec_r,offsetDec_i,offsetDec_z
0,cw,187.0863521,-1.0675945,-0.99218909,-0.12334368,-0.01863196,0.043750272,0.047829184000000004,3.45e-06,61.26160965,290.8580609,-0.22812,-0.027530000000000002,0,-0.01036,-0.03113,0.22558000000000003,0.02265,0,0.02335,0.01082
1,cw,187.11133180000002,-1.12886735,-0.99211488,-0.12377371,-0.01970118,0.045829007000000005,0.051420927000000005,4.45e-06,61.20603752,290.93269260000005,0.0768,0.034980000000000004,0,0.02076,-0.02344,0.22096,-9e-05,0,-0.05488,-0.09767999999999999
2,cw,199.58338799999999,-1.09167866,-0.94198366,-0.33511758,-0.01905223,0.051460332000000004,0.049369007,2.46e-07,61.04712333,316.9260762,0.00826,0.0029,0,0.01546,-0.00942,0.21270999999999998,-0.02052,0,-0.01436,-0.00447
3,cw,208.2269243,-1.11461639,-0.88091458,-0.47287536,-0.0194525,0.05054006900000001,0.043982192999999996,5.12e-06,58.11765132,333.0410003,0.04822,-0.08991,0,-0.03341,0.02537,-0.01656,0.07635,0,0.031810000000000005,-0.02732
4,cw,184.3799572,-0.80956157,-0.99698,-0.07636262,-0.01412904,0.041538356,0.044035412,2.81e-06,60.89486039999999,285.28686400000004,0.08409,0.01105,0,0.00477,0.01885,0.00978,-0.06001,0,0.01004,0.04539
5,cw,188.6314279,-0.76511714,-0.98858606,-0.15006429,-0.01335342,0.041556598,0.040323952999999996,-1e-06,61.81141634,293.95349100000004,0.12935,0.01366,0,-0.01908,-0.04353,0.0786,-0.01927,0,-0.00451,0.00349
6,cw,199.6550324,-0.7074687,-0.94166303,-0.33633062,-0.01234734,0.04387853,0.056378168,-1.57e-06,61.40653236,317.245063,0.11057,-0.03687,0,-0.0083,0.018009999999999998,-0.77557,-0.00072,0,0.02197,-0.014759999999999999
7,cw,214.5877026,-0.74518336,-0.8231886,-0.56761905,-0.01300554,0.04233348,0.041148187,1.67e-06,55.16030836,343.3206604,-0.059739999999999994,-0.05878,0,0.022580000000000003,0.0143,-0.23275,-0.02367,0,0.014709999999999999,0.027739999999999997
8,cw,222.0893207,-0.80754179,-0.74202708,-0.67022174,-0.014093799999999998,0.045070503,0.039495971,1.11e-05,50.36820154,352.8822112,0.19626,0.01828,0,-0.03288,-0.026560000000000004,0.00592,-0.0648,0,0.028030000000000003,0.01235
9,cw,226.9769897,-0.83233193,-0.68222003,-0.73100261,-0.01452642,0.036365853999999996,0.037930567000000005,-4.21e-06,46.89550944,358.0903861,-0.24841999999999997,-0.04678,0,0.00799,0.026869999999999998,0.0082,-0.026189999999999998,0,0.0027,0.05081
