,rotation,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z,lnLStar_u,lnLStar_g,lnLStar_r,lnLStar_i,lnLStar_z,probPSF_u,probPSF_g,probPSF_r,probPSF_i,probPSF_z
0,cw,20.63721,19.06021,18.18346,17.744329999999998,17.39992,0.06923778,0.03191639,0.03171286,0.01712383,0.03086214,-298.2772,-11178.19,-17366.21,-15223.32,-2737.532,0,0,0,0,0
1,cw,20.78138,19.49813,18.60444,18.34982,18.08217,0.09895635,0.03299559,0.03222027,0.01831219,0.03490092,-362.5707,-13956.59,-22848.63,-19717.5,-3190.097,0,0,0,0,0
2,cw,20.65831,18.91681,18.01887,17.62213,17.18995,0.05880215,0.02033988,0.01862147,0.02490765,0.02021979,-217.1804,-9824.829,-19031.26,-17278.24,-2721.289,0,0,0,0,0
3,cw,21.25209,19.49566,18.83604,18.524420000000003,18.16222,0.09431557,0.02306332,0.02008663,0.01612496,0.03225775,-594.2573,-64911.76,-114269.3,-110231.4,-26195.28,1,0,0,0,0
4,cw,20.39844,18.59664,17.84217,17.38062,17.0997,0.07663307,0.0449364,0.02218736,0.02038842,0.03180103,-748.8083,-33918.78,-45717.66,-43450.16,-8797.192,0,0,0,0,0
5,cw,19.964560000000002,18.421129999999998,17.56061,17.18781,16.884120000000003,0.03869959,0.01766184,0.01331817,0.01526447,0.02098804,-212.2725,-18251.89,-25652.98,-25574.96,-5123.229,0,0,0,0,0
6,cw,20.58926,19.5716,18.918789999999998,18.44114,18.02985,0.06621554,0.02661057,0.02311312,0.03413917,0.02516841,-395.0852,-18865.58,-23993.85,-22315.63,-3686.842,0,0,0,0,0
7,cw,20.19295,18.488139999999998,17.96216,17.51588,17.15939,0.04837152,0.1561589,0.013106999999999999,0.01420039,0.02742956,-549.0999,-17116.96,-28502.42,-28175.13,-5745.661,0,0,0,0,0
8,cw,20.75313,19.31258,18.30953,17.864320000000003,17.60564,0.06534071,0.01934596,0.01503684,0.01450756,0.02187158,-1118.096,-39575.9,-50465.34,-49632.25,-12169.02,0,0,0,0,0
9,cw,21.690070000000002,19.77184,18.72295,18.29105,17.88438,0.12362260000000001,0.02140876,0.01322337,0.01704188,0.02156764,-43.81282,-10053.37,-17367.25,-16897.61,-2649.6279999999997,0,0,0,0,0
10,cw,21.54879,20.34112,19.311329999999998,18.82689,18.47427,0.1198893,0.02535385,0.01802114,0.01767675,0.02874988,-61.537180000000006,-6562.685,-11453.89,-10370.25,-1472.74,0,0,0,0,0
11,cw,22.44623,20.897920000000003,20.15406,19.76868,19.3596,0.3017015,0.02982878,0.022811900000000003,0.022525200000000002,0.0524687,-52.54834,-8159.193,-11016.48,-9253.084,-1317.108,0,0,0,0,0
12,cw,19.00094,17.61942,17.14881,16.91015,16.664839999999998,0.03254727,0.0226088,0.01869215,0.02377333,0.02842715,-3206.502,-45176.68,-46580.0,-42890.96,-8001.5419999999995,0,0,0,0,0
13,cw,20.97544,19.60369,18.76963,18.40686,17.9738,0.07606933,0.02154475,0.01275293,0.01772146,0.02754564,-343.6365,-10595.32,-15713.55,-13135.26,-2556.134,0,0,0,0,0
14,cw,20.5959,19.262179999999997,18.33481,17.9383,17.591820000000002,0.0534203,0.01905721,0.01526354,0.01160681,0.02834491,-968.6479,-26186.89,-34122.62,-34295.25,-5916.0740000000005,0,0,0,0,0
15,cw,20.36717,19.00827,17.95111,17.52046,17.283839999999998,0.04711553,0.01879145,0.01492332,0.01821396,0.0210859,-686.6632,-40874.96,-60868.19,-58770.5,-12211.36,0,0,0,0,0
16,cw,21.32089,20.03075,19.32985,19.03668,18.68497,0.08806694,0.07699401,0.07569667,0.08711823,0.03824375,-98.20432,-8839.666,-13216.86,-12141.03,-1393.764,0,0,0,0,0
17,cw,21.03593,19.80985,19.12631,18.83933,18.53358,0.07007883,0.02038096,0.02262905,0.01913971,0.03248019,-401.6967,-12531.2,-16160.99,-14967.79,-1815.07,0,0,0,0,0
18,cw,20.036360000000002,18.71671,18.29401,17.894820000000003,17.735,0.03701672,0.01875629,0.01600425,0.02334677,0.02036118,-3841.673,-80999.88,-87860.59,-80273.27,-15231.46,0,0,0,0,0
19,cw,21.60501,20.43211,19.765220000000003,19.43863,19.09897,0.115317,0.02581469,0.02368505,0.0227826,0.04452598,-132.0806,-6334.755,-8740.599,-7184.318,-670.9708,0,0,0,0,0
20,cw,20.885579999999997,19.28064,18.45495,18.22655,18.194679999999998,0.06802247,0.01925853,0.015075700000000001,0.02256709,0.02792709,-1414.493,-36880.23,-42895.99,-41130.54,-6519.062,0,0,0,0,0
21,cw,21.6487,20.19735,19.756729999999997,19.69032,19.62452,0.1049262,0.026197500000000002,0.02189057,0.02663667,0.05556886,-229.1104,-11895.05,-14114.44,-7429.918000000001,-575.0285,0,0,0,0,0
22,cw,21.49969,20.23375,19.56876,19.211170000000003,18.78011,0.08903602,0.02311057,0.01732314,0.01625092,0.03359014,-292.6869,-12859.46,-18270.02,-16401.7,-1768.705,0,0,0,0,0
23,cw,22.09101,20.036360000000002,18.97256,18.509629999999998,18.17999,0.14485979999999998,0.01887878,0.01544476,0.01375095,0.02520409,-115.635,-13557.61,-20666.3,-19723.36,-2814.988,0,0,0,0,0
24,cw,20.80198,19.45474,18.79935,18.45823,18.18831,0.05690387,0.02916356,0.01888498,0.01917022,0.02395372,-2115.056,-54680.9,-64278.58,-58058.33,-9892.126,0,0,0,0,0
25,cw,20.62193,19.56138,18.87771,18.195870000000003,18.31185,0.07549419,0.06355272,0.02620235,0.02782166,0.03355598,-115.8306,-10553.5,-14880.25,-12105.81,-1149.147,0,0,0,0,0
26,cw,22.07299,20.21631,19.35431,19.02966,18.73592,0.1613371,0.02021982,0.01721427,0.01683471,0.04074832,-150.9569,-10543.73,-15238.97,-13686.97,-1151.89,0,0,0,0,0
27,cw,20.7345,18.91026,17.94246,17.47757,17.16814,0.05595306,0.01244249,0.01401156,0.01339873,0.01778205,-395.0822,-30116.69,-47179.94,-44951.23,-7142.811,0,0,0,0,0
28,cw,20.36737,18.67905,18.052039999999998,17.67899,17.34305,0.04530063,0.02635855,0.01746647,0.01780833,0.02308199,-1171.712,-54061.83,-72318.73,-65235.37,-10289.41,0,0,0,0,0
29,cw,19.912229999999997,18.47685,17.92309,17.524929999999998,17.32628,0.03429618,0.02468629,0.02415381,0.01541126,0.02161245,-1369.631,-34167.68,-40031.16,-35894.82,-4449.494000000001,0,0,0,0,0
30,cw,21.0649,19.4562,18.602339999999998,18.08674,17.65439,0.08946691,0.02181104,0.01314135,0.01923333,0.02839862,-158.0847,-11573.73,-25639.37,-26138.12,-3623.1859999999997,0,0,0,0,0
31,cw,21.59678,20.12085,19.59817,19.22138,18.706570000000003,0.10374480000000001,0.02437552,0.01743428,0.01731042,0.03834626,-142.2912,-8743.713,-10290.56,-9395.068000000001,-677.875,0,0,0,0,0
32,cw,21.55046,20.30408,19.45212,19.08022,18.69955,0.09782477,0.0190288,0.01616787,0.01689628,0.03537782,-104.7948,-7611.854,-11252.18,-10902.71,-888.6267,0,0,0,0,0
33,cw,21.49667,19.945339999999998,19.03195,18.6185,18.231070000000003,0.10157719999999999,0.01683973,0.01676119,0.01676135,0.02860306,-73.38765,-8155.318,-11441.34,-9142.987,-995.3358,0,0,0,0,0
34,cw,20.32722,18.77546,18.00422,17.57951,17.24444,0.04223726,0.01753381,0.02169372,0.01851829,0.01893122,-1470.0610000000001,-36398.48,-44336.66,-37744.77,-8962.591,0,0,0,0,0
35,cw,19.77661,18.496470000000002,18.16657,17.90989,17.71681,0.03781356,0.01527895,0.01954328,0.01824467,0.021852,-1758.989,-24844.41,-26305.48,-21169.61,-3873.95,0,0,0,0,0
36,cw,20.58014,19.11834,18.31302,17.88036,17.497239999999998,0.04916308,0.02046333,0.01643956,0.01490124,0.01836389,-3448.635,-63183.23,-79483.19,-70367.4,-22261.4,0,0,0,0,0
37,cw,21.12486,19.30112,18.516379999999998,18.14649,17.9315,0.07017151,0.01641345,0.01565016,0.01868576,0.02202092,-1415.83,-56209.48,-69294.3,-56133.91,-12924.98,0,0,0,0,0
38,cw,21.48068,20.28125,19.41038,18.98745,18.615660000000002,0.09104253,0.02088779,0.018528599999999996,0.0173514,0.02571662,-60.21585,-7744.194,-12007.36,-9205.129,-1526.4779999999998,0,0,0,0,0
39,cw,21.45749,20.31227,19.50825,19.07398,18.90889,0.115593,0.02263982,0.0167274,0.02237813,0.03416337,-178.261,-9123.434000000001,-12316.08,-10396.55,-1547.0729999999999,0,0,0,0,0
40,cw,20.58652,19.37033,18.67295,18.2296,17.94489,0.06651977,0.01806794,0.0235904,0.01721841,0.02699593,-129.5431,-9976.476,-13436.0,-10797.17,-1796.5510000000002,0,0,0,0,0
41,cw,21.10611,19.02065,18.34449,17.8196,17.49973,0.1011783,0.01826132,0.01791297,0.01642037,0.02214665,-253.3561,-23309.63,-34310.35,-27278.46,-4675.947,0,0,0,0,0
42,cw,20.15043,18.7948,18.05725,17.63843,17.20881,0.04939932,0.01773241,0.01325924,0.02197492,0.02235548,-1841.741,-43070.94,-48681.67,-42484.93,-11072.89,0,0,0,0,0
43,cw,20.11177,19.0928,18.52251,18.07532,17.94068,0.04136851,0.02309998,0.01945224,0.0162418,0.02249005,-540.5109,-19121.23,-20844.14,-15624.5,-2076.406,0,0,0,0,0
44,cw,20.42587,18.44199,17.59611,17.20123,16.79955,0.05384034,0.03200982,0.01777977,0.02200754,0.02392324,-1646.566,-59526.38,-75871.74,-72049.27,-20328.95,0,0,0,0,0
45,cw,20.62473,19.39375,18.49667,17.98949,17.67352,0.05980546,0.02175787,0.01590071,0.02451945,0.01963089,-246.019,-11955.89,-16422.34,-13910.23,-2480.4,0,0,0,0,0
46,cw,19.60707,17.72006,17.03989,16.615679999999998,16.16181,0.03255139,0.0157307,0.01607425,0.02048949,0.02018111,-3021.073,-69501.6,-82746.83,-74097.38,-22425.11,0,0,0,0,0
47,cw,20.91072,19.34228,18.52105,18.0027,17.664260000000002,0.06685753,0.01775412,0.01492822,0.01321635,0.02630303,-387.87699999999995,-22350.23,-29168.5,-23375.59,-3763.278,0,0,0,0,0
48,cw,18.82992,17.23604,17.367810000000002,17.05307,16.82287,0.02492777,0.02020819,0.01381333,0.01560999,0.02076755,-6616.266,-93170.01,-109285.6,-90660.73,-22668.71,0,0,0,0,0
49,cw,21.08936,19.65638,19.07236,18.68432,18.27355,0.1066605,0.02417132,0.01670855,0.02616177,0.03788595,-146.681,-6219.5830000000005,-8814.364,-7027.531999999999,-759.6785,0,0,0,0,0
