,rotation,sky_u,sky_g,sky_r,sky_i,sky_z,skyErr_u,skyErr_g,skyErr_r,skyErr_i,skyErr_z
0,cw,1.1699999999999999e-09,1.75e-09,3.99e-09,7.090000000000001e-09,1.96e-08,9.779999999999999e-13,1.17e-11,2.8300000000000002e-11,4.01e-12,1.07e-11
1,cw,1.1699999999999999e-09,1.7600000000000001e-09,4e-09,7.11e-09,1.96e-08,2.81e-11,2.03e-11,3.36e-11,4.1600000000000004e-11,7.41e-11
2,cw,1.22e-09,1.7399999999999998e-09,4.08e-09,7.28e-09,2.12e-08,8.570000000000001e-12,2.22e-10,6.360000000000001e-10,7.920000000000001e-10,6.08e-10
3,cw,1.59e-09,2.52e-09,5.06e-09,8.370000000000001e-09,2.16e-08,1.2200000000000002e-10,1.73e-10,2.8e-10,3.36e-10,3.75e-10
4,cw,1.1699999999999999e-09,1.8e-09,4.09e-09,7.37e-09,2.19e-08,1.14e-12,5.35e-12,8.73e-12,1.16e-11,4.0799999999999996e-12
5,cw,1.18e-09,1.7800000000000003e-09,3.98e-09,7.18e-09,2.11e-08,1.14e-12,3.31e-11,5.89e-11,9.249999999999999e-11,2.47e-11
6,cw,1.21e-09,1.7300000000000002e-09,4e-09,7.4e-09,2.2200000000000004e-08,2.97e-11,1.8499999999999998e-10,4.0800000000000004e-10,7.34e-10,1.54e-10
7,cw,1.26e-09,1.6800000000000002e-09,3.84e-09,6.959999999999999e-09,2.12e-08,1.12e-12,2.38e-11,9.9e-12,6.79e-12,4.1900000000000005e-12
8,cw,1.3e-09,1.7000000000000001e-09,3.88e-09,6.8099999999999994e-09,2.08e-08,1.18e-12,9.24e-11,1.26e-10,1.38e-10,3.88e-12
9,cw,1.29e-09,1.6699999999999998e-09,4e-09,7.0799999999999995e-09,2.15e-08,1.4199999999999998e-11,4.5e-11,4.01e-11,8.29e-11,1.19e-10
10,cw,1.3e-09,1.6899999999999997e-09,4.07e-09,7.2499999999999996e-09,2.18e-08,1.4699999999999998e-11,4.98e-11,1.42e-10,2.38e-10,3.7400000000000005e-10
