,rotation,q_u,q_g,q_r,q_i,q_z,qErr_u,qErr_g,qErr_r,qErr_i,qErr_z,u_u,u_g,u_r,u_i,u_z,uErr_u,uErr_g,uErr_r,uErr_i,uErr_z
0,cw,0.09791019,0.03883923,0.02908123,0.02741298,0.0447219,0.02608168,0.004283477,0.00315906,0.003432751,0.008928635,0.05878844,0.04767899,0.04074977,0.03353436,0.02808873,0.02592433,0.0042867420000000005,0.003161628,0.00343403,0.008917859
1,cw,0.08697196,0.1510884,0.1451417,0.1514591,0.1578538,0.02522812,0.004338459,0.003242143,0.0036976,0.01027282,0.02010846,0.0016402539999999998,-0.00482549,-0.009072568,-0.01043344,0.02504955,0.0042427,0.0031760029999999997,0.003615887,0.01002712
2,cw,0.06031727,0.06562628,0.04747364,0.04677918,0.03333422,0.02998355,0.008807493000000001,0.01114389,0.009809351,0.01062779,-0.01140693,-0.02892542,-0.02602981,-0.01963937,-0.02882937,0.02987894,0.00877714,0.0111264,0.009791729,0.01062482
3,cw,0.02131189,0.09730361,0.1042218,0.1038421,0.1463169,0.20514810000000003,0.003311032,0.002352311,0.002262288,0.005238670999999999,0.003226292,-0.00016895400000000002,0.000594947,0.0013270229999999999,0.001081104,0.20505720000000002,0.0032801220000000003,0.00232717,0.002238285,0.005130002
4,cw,-0.02758531,0.007933363,0.01041297,0.0215148,0.02898924,0.01964107,0.002405796,0.001991843,0.002138026,0.006133439,0.01383676,0.0171115,0.01877396,0.02317671,0.0235123,0.019629900000000002,0.002406348,0.001992329,0.002138185,0.006131678000000001
5,cw,0.01576199,-0.003709649,-0.00727902,-0.008806265,-0.02448935,0.03309972,0.0036136540000000004,0.0029457990000000002,0.0031757240000000004,0.008694806999999999,-0.042921,-0.05559858,-0.06312714,-0.07029697,-0.08020216,0.03315241,0.003624758,0.0029573579999999998,0.003191131,0.008745314
6,cw,-0.07204784,-0.15647070000000002,-0.1742707,-0.17763199999999998,-0.1813295,0.02309727,0.006568724000000001,0.007704278,0.009670843,0.009956369,-0.03530877,0.007728406,0.01037874,0.00183887,0.01231056,0.02300693,0.006413959,0.007481249000000001,0.009379453000000001,0.00964577
7,cw,0.22647820000000002,0.10489289999999998,0.1478614,0.15535929999999998,0.141923,0.02016588,0.002922004,0.002241442,0.002282562,0.005973661,-0.02933551,0.001319544,-0.002552207,-0.00123259,0.007055009,0.01922138,0.0028903809999999996,0.002194003,0.00222939,0.005857148
8,cw,-0.1530204,-0.14310209999999998,-0.14051760000000002,-0.142514,-0.142907,0.016784200000000003,0.0027085340000000003,0.002181568,0.002124145,0.005168486,0.0238343,0.03925014,0.04202602,0.04938442,0.04856169,0.01641379,0.002658802,0.002143504,0.002087346,0.005077993
9,cw,0.02993441,0.1604892,0.15477829999999998,0.14634589999999997,0.1651339,0.06076518,0.005736962,0.004057972,0.004422814000000001,0.01222945,0.01887727,-0.008209369000000001,-0.02154407,-0.03408086,-0.01676651,0.06073243,0.005595048,0.003965957,0.004336056,0.01191236
