,rotation,texture_u,texture_g,texture_r,texture_i,texture_z
0,cw,0.1742165,19.7883,53.899519999999995,17.83224,1.301412
1,cw,0.2007784,7.298114,22.669610000000002,15.98589,1.338754
2,cw,0.251769,26.9251,113.4064,78.9908,4.544864
3,cw,11.29857,243.6659,630.1951,420.1433,32.33097
4,cw,0.16928220000000002,84.3793,328.754,91.97555,4.794409
5,cw,0.713213,99.91753,147.8267,105.4484,6.028117
6,cw,0.1723973,11.875119999999999,24.7634,26.04342,1.640783
7,cw,0.328338,5.1426419999999995,129.5075,121.7235,2.424038
8,cw,0.5402675,104.3935,221.8516,261.369,30.05899
9,cw,-0.0023509629999999998,26.52297,74.9293,67.14742,6.036023999999999
10,cw,0.00790349,14.85245,15.90515,10.17959,0.42654790000000004
11,cw,-0.04105243,7.363855,6.613878,4.998842,0.4002501
12,cw,4.608064,171.9638,54.83171,34.31607,2.1360919999999997
13,cw,0.14891120000000002,10.27418,33.94474,34.80965,1.4271
14,cw,1.01207,140.8214,263.7661,326.8086,33.35311
15,cw,1.2702309999999999,83.21184000000001,115.9726,99.99928,4.458185
16,cw,0.1717922,30.64132,51.911590000000004,40.77831,0.5147430000000001
17,cw,0.16565660000000001,34.93502,51.86432,46.398590000000006,1.170275
18,cw,3.0153849999999998,272.2817,486.2393,316.4976,25.63481
19,cw,0.0412082,2.3775169999999997,3.736714,3.669634,0.13529349999999998
20,cw,0.2568264,29.12449,32.67435,29.5974,2.2284889999999997
21,cw,0.1667625,3.873207,8.515436,8.226129,0.6275153
22,cw,0.1071177,8.66411,11.5937,10.063310000000001,0.9921339
23,cw,0.02517609,43.78482,171.8146,46.64114,2.983565
24,cw,1.811363,112.1764,132.713,115.6369,11.39428
25,cw,0.05349595,11.695089999999999,8.617014,4.6201419999999995,0.1140754
26,cw,0.03914979,13.415779999999998,18.62368,18.81705,0.2353141
27,cw,0.11878519999999998,81.88658000000001,202.845,185.8846,4.943511
28,cw,2.156764,202.2302,295.23900000000003,190.1863,4.600958
29,cw,1.007654,325.5292,115.7884,80.33712,2.392763
30,cw,0.05568865,17.48976,27.7531,29.6293,0.9817785
31,cw,0.07705965,4.579238,9.159199000000001,7.779461,0.1940405
32,cw,0.07403077,3.6609769999999995,10.01548,10.53923,0.36406659999999996
33,cw,0.08231312,28.28527,14.587470000000001,14.384070000000001,0.18715829999999997
34,cw,0.5546314999999999,126.5043,432.2819,83.4789,7.238199000000001
35,cw,1.908682,78.07685,86.58736,49.725190000000005,2.598739
36,cw,7.62455,654.9876,585.8676,293.4443,23.78975
37,cw,1.079128,169.47799999999998,279.0301,163.9199,19.47656
38,cw,0.2028338,21.608220000000003,37.5756,30.417740000000002,0.6214445
39,cw,0.1866624,8.355963000000001,8.247987,4.632315,0.4044027
40,cw,0.1792778,59.71661999999999,24.86254,14.61004,0.7496967
41,cw,0.09660447,62.79546,243.312,46.1855,3.2736810000000003
42,cw,0.9341579,100.1285,189.2197,142.3757,9.784789
43,cw,0.3181324,26.14919,19.0869,10.36128,0.3881854
44,cw,0.5274350999999999,253.7798,614.4058,609.0118,43.74184
45,cw,0.27500990000000003,26.439770000000003,39.3253,30.94525,2.413226
46,cw,5.191586,2416.8,889.5594,486.4841,27.049409999999998
47,cw,0.6029503,138.8167,87.50159000000001,51.09943,2.307098
48,cw,6.467902,529.4957,1872.016,844.5034,14.35674
49,cw,0.0829547,3.3616599999999996,4.777486,1.9838419999999999,0.01525389
50,cw,28.897409999999997,1373.1629999999998,1654.8470000000002,1152.816,130.7112
51,cw,1.4655340000000001,459.1946,306.5075,330.9084,20.51191
52,cw,0.01556264,1.685168,7.163608999999999,4.413973,0.1938467
53,cw,0.1031277,16.44444,36.24006,25.78829,1.19349
54,cw,0.1894632,15.674370000000001,16.8169,14.58525,0.41599620000000004
55,cw,0.22325949999999997,87.97903000000001,162.4628,39.14698,1.980603
56,cw,0.04510074,19.734029999999997,7.400264,5.903637000000001,0.1391944
57,cw,0.1860184,118.4664,148.3289,106.915,7.868376
58,cw,3.8765699999999996,253.0366,169.9771,115.4798,6.780539
59,cw,1.132041,201.1067,191.0978,57.999480000000005,0.9131121999999999
60,cw,0.06442956,23.15714,32.29841,3.6832550000000004,0.05135281
61,cw,0.2463008,42.661609999999996,47.18736,28.176170000000003,2.4369970000000003
62,cw,4.6213809999999995,456.4109,531.702,341.0821,5.201385
63,cw,0.16698659999999999,20.97725,30.36947,31.160459999999997,0.8224596
64,cw,0.34903870000000004,30.576190000000004,22.5271,18.9197,1.31693
65,cw,6.967080999999999,2387.869,2775.816,2007.545,59.7252
66,cw,0.20849450000000003,49.585879999999996,69.09161,8.540383,0.8271318000000001
67,cw,31.002290000000002,2028.021,990.585,390.3704,6.911795
68,cw,0.047976099999999994,39.47229,38.792590000000004,6.234513,0.43647529999999995
69,cw,5.660634,696.903,712.2579,515.7496,30.437620000000003
70,cw,0.5339894000000001,41.907309999999995,126.3121,79.77599000000001,6.888613
71,cw,0.22874320000000004,93.79575,328.2389,279.9374,9.886448
72,cw,0.4683075,22.12829,69.69691,33.65654,1.997249
73,cw,0.04058417,11.43595,9.406265,7.684052,0.01206407
74,cw,0.1255637,10.64423,12.48696,8.941896,1.807695
75,cw,0.1803719,8.345916,10.07749,4.932958999999999,0.07845675
76,cw,0.38515309999999997,47.48525,138.0193,83.7098,3.866568
77,cw,0.07860464,25.05049,97.63284,60.627159999999996,3.0220689999999997
78,cw,0.45839979999999997,12.191989999999999,23.35602,12.47894,0.34196129999999997
79,cw,0.10064429999999999,32.97334,86.67125,30.70015,1.138312
80,cw,0.009082877,9.587399000000001,5.560512999999999,3.149238,0.2067313
81,cw,0.03933818,27.716820000000002,96.39113,65.89265999999999,0.763734
82,cw,0.009399331,9.873,28.81888,18.787860000000002,0.3601877
83,cw,0.6450505999999999,40.76003,68.33412,30.025340000000003,0.49711809999999995
84,cw,0.8299833000000001,110.4224,184.0481,110.0011,3.8263529999999997
85,cw,0.02340664,10.486289999999999,12.47231,8.457226,0.2251489
86,cw,0.5518801,50.9175,62.41112,32.1463,0.9328174000000001
87,cw,0.2278788,68.48776,124.4972,90.91094,3.7373260000000004
88,cw,0.09507351,42.06824,78.93695,60.85041999999999,2.3967009999999997
89,cw,0.11540170000000001,49.02939,31.99976,21.36356,0.08563282
90,cw,0.02447289,15.839020000000001,102.0554,29.325909999999997,0.7734535
91,cw,0.04095948,6.376455,11.54491,5.83893,0.02298247
92,cw,1.071217,157.6762,222.7555,136.4524,7.7571520000000005
93,cw,4.11925,425.333,369.4452,103.5835,5.347617
94,cw,0.14491110000000001,49.443000000000005,7.092486999999999,2.876579,0.25299360000000004
95,cw,10.248510000000001,3065.908,1931.6779999999999,931.6611,68.60248
96,cw,0.9512653,204.0521,260.7977,149.4347,6.316312
97,cw,2.817296,143.5705,250.6445,153.1773,12.25109
98,cw,0.07736169,8.142656,9.06864,3.726339,0.162602
99,cw,0.04405556,11.4354,10.412339999999999,5.279463,0.11818510000000002
100,cw,0.41996579999999994,58.257369999999995,26.01211,10.49789,0.05543131
101,cw,2.138734,153.8971,148.9079,89.98895999999999,4.559545
102,cw,0.5512587,573.8234,374.3504,293.6814,29.463620000000002
103,cw,1.055834,120.7498,253.8661,191.6918,11.1314
104,cw,0.7807261,19.99246,11.24364,4.2120690000000005,0.1417325
105,cw,0.7354388000000001,43.46628,23.299039999999998,11.30831,0.3492107
106,cw,0.4647196,49.77106,71.13266,43.07956,2.261468
107,cw,0.6806768,44.98796,127.0108,99.65658,5.54617
108,cw,0.6918184000000001,28.165129999999998,33.82345,15.632470000000001,0.7691404000000001
109,cw,0.24781679999999998,3.736221,1.169781,0.6800025,0.1589256
110,cw,0.04598665,3.242795,3.5961309999999997,3.2739830000000003,0.2262864
111,cw,0.13055550000000002,23.71685,21.37115,24.50372,2.18684
112,cw,1.06146,458.0007,430.7615,153.9944,7.172727
113,cw,0.08136804,9.507472,7.4911710000000005,8.934274,0.008701494
114,cw,7.293794,193.5115,179.5639,156.1049,5.989026
115,cw,3.0824130000000003,622.5055,209.5563,172.8912,5.28965
116,cw,0.1665426,10.59702,8.132907000000001,6.254842,0.2922567
117,cw,169.6132,5161.266,4692.405,3699.6679999999997,175.9178
118,cw,0.06228605,3.63846,5.6118,6.620739,0.5742738000000001
119,cw,0.3196638,82.7099,116.3337,103.7365,2.884656
120,cw,0.4940994000000001,43.30903,128.013,120.2623,3.064377
121,cw,0.1176191,18.37537,106.6937,95.38786,0.9899003000000001
122,cw,0.7003059,108.6101,322.07,371.5254,2.80787
123,cw,0.18856270000000003,17.18471,22.48263,16.776510000000002,0.5733529
124,cw,2.476782,98.71558,45.33187,32.97571,0.8943805
125,cw,0.5910055999999999,123.8593,145.1113,130.59799999999998,2.22128
126,cw,2.921943,1369.515,938.0076,803.8107,81.08739
127,cw,9.196882,356.5177,439.1681,334.8225,23.26057
128,cw,1.2116360000000002,91.91943,62.360369999999996,34.71161,1.189478
129,cw,1.059971,142.3187,198.4146,147.8348,12.58314
130,cw,1.23755,598.592,381.4815,289.5793,17.57529
131,cw,0.451888,10.08313,17.15721,22.6512,1.351335
132,cw,0.1984856,69.46896,97.0984,87.86523000000001,4.8669720000000005
133,cw,0.7539254,262.3456,336.6796,355.3812,12.37604
134,cw,18.80276,1010.6080000000001,1958.7220000000002,1392.888,78.5479
135,cw,0.940132,259.9519,74.09506999999999,46.6562,2.864388
136,cw,2.515397,170.3284,164.2263,97.90517,10.20228
137,cw,0.00612368,6.429141,10.66335,10.11749,0.5939936
138,cw,0.03930353,28.8782,56.947230000000005,7.846493,0.1844117
139,cw,23.4046,3814.362,5056.843,1290.165,61.329980000000006
140,cw,-0.001170209,11.38905,38.94907,31.711759999999998,0.8491755999999999
141,cw,0.9784145000000001,76.741,56.586769999999994,40.0902,1.4424649999999999
142,cw,0.13740479999999997,4.7522459999999995,3.271455,2.819244,0.2972734
143,cw,0.1833384,35.8524,64.54979,35.09406,0.9071456
144,cw,1.903084,884.314,933.9654,647.7531,21.57806
145,cw,1.1871399999999999,125.7944,306.7222,206.951,13.41683
146,cw,0.8621802,145.195,342.10400000000004,196.4171,15.837
147,cw,13.13575,1209.479,2015.172,1190.828,11.89167
148,cw,-0.001257786,9.452328999999999,6.975293,4.824879,0.5152816
149,cw,6.15835,281.9397,307.6911,209.4555,12.740730000000001
150,cw,0.15949000000000002,12.214789999999999,26.7047,18.1352,0.1993749
151,cw,0.2484681,92.56483,93.80185999999999,72.36095999999999,2.417464
152,cw,0.3436263,66.07973,52.61263,37.87924,1.8914360000000001
153,cw,12.19364,656.5488,285.3358,286.3908,10.44092
154,cw,0.1545751,59.22711999999999,62.386109999999995,49.45465,1.609297
155,cw,1.224265,187.562,234.2915,282.26099999999997,1.632596
