,rotation,type_u,type_g,type_r,type_i,type_z
0,cw,3,3,3,3,3
1,cw,3,3,3,3,3
2,cw,3,3,3,3,3
3,cw,6,3,3,3,3
4,cw,3,3,3,3,3
5,cw,3,3,3,3,3
6,cw,3,3,3,3,3
7,cw,3,3,3,3,3
8,cw,3,3,3,3,3
9,cw,3,3,3,3,3
10,cw,3,3,3,3,3
11,cw,3,3,3,3,3
12,cw,3,3,3,3,3
13,cw,3,3,3,3,3
14,cw,3,3,3,3,3
15,cw,3,3,3,3,3
16,cw,3,3,3,3,3
17,cw,3,3,3,3,3
18,cw,3,3,3,3,3
19,cw,3,3,3,3,3
20,cw,3,3,3,3,3
21,cw,3,3,3,3,3
22,cw,3,3,3,3,3
23,cw,3,3,3,3,3
24,cw,3,3,3,3,3
25,cw,3,3,3,3,3
26,cw,3,3,3,3,3
27,cw,3,3,3,3,3
28,cw,3,3,3,3,3
29,cw,3,3,3,3,3
30,cw,3,3,3,3,3
31,cw,3,3,3,3,3
32,cw,3,3,3,3,3
33,cw,3,3,3,3,3
34,cw,3,3,3,3,3
35,cw,3,3,3,3,3
36,cw,3,3,3,3,3
37,cw,3,3,3,3,3
38,cw,3,3,3,3,3
39,cw,3,3,3,3,3
40,cw,3,3,3,3,3
41,cw,3,3,3,3,3
42,cw,3,3,3,3,3
43,cw,3,3,3,3,3
44,cw,3,3,3,3,3
45,cw,3,3,3,3,3
46,cw,3,3,3,3,3
47,cw,3,3,3,3,3
48,cw,3,3,3,3,3
49,cw,3,3,3,3,3
50,cw,3,3,3,3,3
51,cw,3,3,3,3,3
52,cw,3,3,3,3,3
53,cw,3,3,3,3,3
54,cw,3,3,3,3,3
55,cw,3,3,3,3,3
56,cw,3,3,3,3,3
57,cw,3,3,3,3,3
58,cw,3,3,3,3,3
59,cw,3,3,3,3,3
60,cw,3,3,3,3,3
61,cw,3,3,3,3,3
62,cw,3,3,3,3,3
63,cw,3,3,3,3,3
64,cw,3,3,3,3,3
65,cw,3,3,3,3,3
66,cw,3,3,3,3,3
67,cw,3,3,3,3,3
68,cw,3,3,3,3,3
69,cw,3,3,3,3,3
70,cw,3,3,3,3,3
71,cw,3,3,3,3,3
72,cw,3,3,3,3,3
73,cw,3,3,3,3,3
74,cw,3,3,3,3,3
75,cw,3,3,3,3,3
