,rotation,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z
0,cw,0.129443,0.09524289999999999,0.0690781,0.05237983,0.03713795
1,cw,0.13347179999999997,0.09820729,0.07122812,0.05401013,0.03829385
2,cw,0.1456353,0.10715710000000002,0.07771924,0.05893214,0.04178363
3,cw,0.23750059999999998,0.1747507,0.12674380000000002,0.09610598,0.06814034
4,cw,0.13186470000000003,0.09702478,0.07037047,0.053359800000000006,0.03783276
5,cw,0.130698,0.09616635,0.06974786,0.05288769,0.03749803
6,cw,0.1396624,0.1027623,0.07453179,0.056515199999999995,0.04006998
7,cw,0.26647909999999997,0.1960728,0.14220839999999998,0.1078323,0.07645444
8,cw,0.24434899999999998,0.17978970000000002,0.1303985,0.09887723,0.07010519
9,cw,0.36513920000000005,0.26866599999999996,0.194859,0.1477557,0.1047606
10,cw,0.33050450000000003,0.243182,0.1763759,0.13374049999999998,0.09482369
11,cw,0.5729934,0.4216031,0.3057817,0.23186500000000002,0.16439520000000002
12,cw,0.13438889999999998,0.09888209,0.07171754,0.05438124,0.03855697
13,cw,0.10530519999999999,0.07748259,0.05619684,0.04261236,0.03021269
14,cw,0.15058870000000002,0.1108017,0.08036265,0.06093656,0.04320478
15,cw,0.1641376,0.12077089999999999,0.08759313,0.06641922,0.04709205
16,cw,0.21082620000000002,0.1551239,0.11250879999999999,0.08531202,0.06048729
17,cw,0.2105828,0.1549448,0.1123789,0.08521351,0.06041744
18,cw,0.259523,0.1909545,0.1384962,0.1050174,0.07445867
19,cw,0.2100748,0.15457100000000001,0.1121078,0.08500796,0.0602717
20,cw,0.226604,0.16673310000000002,0.1209287,0.09169659,0.06501403
21,cw,0.2700893,0.19872910000000002,0.14413499999999999,0.10929320000000001,0.07749022
22,cw,0.2808636,0.20665679999999997,0.1498847,0.113653,0.08058142
23,cw,0.3183152,0.23421329999999999,0.169871,0.1288081,0.09132652
24,cw,0.3030317,0.2229678,0.1617149,0.1226235,0.08694158
25,cw,0.13000430000000002,0.0956559,0.06937764,0.05260696,0.03729899
26,cw,0.126912,0.09338065,0.06772744,0.05135566,0.03641181
27,cw,0.1424037,0.1047793,0.07599468,0.05762446,0.04085646
28,cw,0.2050734,0.150891,0.10943879999999999,0.0829841,0.05883676
29,cw,0.2028767,0.1492747,0.1082665,0.0820952,0.05820652
30,cw,0.1914159,0.140842,0.10215039999999999,0.07745752,0.05491835
31,cw,0.3305822,0.24323920000000002,0.1764174,0.133772,0.09484598
32,cw,0.332368,0.24455320000000003,0.17737039999999998,0.13449460000000002,0.09535833
33,cw,0.3931531,0.2892783,0.20980879999999996,0.15909160000000003,0.112798
34,cw,0.135371,0.09960472,0.07224165,0.05477865,0.03883875
35,cw,0.1370948,0.10087310000000001,0.07316156,0.055476199999999996,0.03933331
