,rotation,fiberMag_u,fiberMag_g,fiberMag_r,fiberMag_i,fiberMag_z,fiberMagErr_u,fiberMagErr_g,fiberMagErr_r,fiberMagErr_i,fiberMagErr_z
0,cw,20.8493,19.19732,18.385920000000002,17.8546,17.524060000000002,0.07276010000000001,0.01003302,0.006279692,0.006255224,0.01384618
1,cw,21.101760000000002,19.592979999999997,18.79992,18.3908,18.10867,0.1135355,0.012449600000000002,0.008878991999999999,0.008653622,0.01965921
2,cw,20.94494,18.994,18.05013,17.60081,17.276510000000002,0.06109833,0.01325913,0.013131899999999998,0.008583854,0.0130416
3,cw,20.83311,19.08021,18.33965,17.97135,17.74867,0.0676804,0.01176035,0.008765196999999999,0.00828146,0.01603996
4,cw,20.804170000000003,18.92995,17.996029999999998,17.51057,17.1609,0.06902695,0.007845346999999999,0.0053254719999999995,0.004331082,0.010342299999999999
5,cw,20.179000000000002,18.57156,17.70342,17.2502,16.92749,0.04228453,0.005670169,0.004803468,0.004144399,0.007555424
6,cw,20.69114,19.357,18.6092,18.15866,17.865370000000002,0.06343365,0.01542838,0.01496566,0.01689767,0.01812344
7,cw,20.3638,19.1736,18.04389,17.59235,17.23285,0.04919892,0.00908083,0.005417061,0.004529139000000001,0.01110549
8,cw,20.60759,18.868389999999998,17.99728,17.53217,17.18271,0.06009804,0.008342457,0.005733829,0.005058165,0.009191735
9,cw,21.53152,19.66591,18.60091,18.11545,17.73467,0.1314474,0.01088302,0.006518726999999999,0.00734912,0.01628368
10,cw,21.47082,19.89489,18.89864,18.4513,18.11965,0.1513066,0.01373379,0.009466414,0.0111496,0.02291509
11,cw,22.66404,20.590989999999998,19.73687,19.3394,18.98508,0.2819409,0.02275131,0.01617,0.01847807,0.04771836
12,cw,19.81318,18.49703,17.89183,17.446170000000002,17.18546,0.03296218,0.0067905380000000005,0.005182981,0.005186565,0.01184774
13,cw,20.94233,19.46566,18.553179999999998,18.13087,17.81785,0.07139839,0.009918406,0.0065586609999999995,0.006398275,0.01832476
14,cw,20.51756,19.04257,18.14088,17.66447,17.33108,0.05103914,0.007495999999999999,0.005576878,0.004589503,0.01270942
15,cw,20.49833,18.77186,17.811020000000003,17.3178,16.94097,0.05059225,0.006244701,0.004115746,0.003807253,0.009761657
16,cw,21.20673,19.84947,19.09563,18.69944,18.40626,0.07627664,0.08343416,0.08142189999999999,0.07422978,0.03418145
17,cw,20.822039999999998,19.508020000000002,18.80161,18.377570000000002,18.1452,0.06081888,0.01119438,0.01447721,0.008542829,0.02322329
18,cw,19.973470000000002,18.61135,17.90539,17.57639,17.303720000000002,0.03471332,0.006463054,0.004486347,0.004637583,0.01249341
19,cw,21.45884,20.28941,19.492079999999998,19.082910000000002,18.81747,0.1098009,0.01901003,0.01241234,0.01258674,0.04077281
20,cw,20.686629999999997,19.24747,18.48412,18.108729999999998,17.83025,0.05958626,0.009129549,0.006943807,0.006867263,0.01736645
21,cw,21.00086,19.72571,19.179489999999998,18.88626,18.710520000000002,0.07750128,0.01519496,0.01310712,0.01146493,0.03769127
22,cw,21.013279999999998,19.58935,18.83119,18.427229999999998,18.15479,0.07621295,0.01154977,0.008752169,0.008878961,0.02390105
23,cw,21.68948,19.67752,18.65336,18.13619,17.80101,0.1342188,0.01243024,0.006640696,0.0060172030000000005,0.01829637
24,cw,20.30617,18.95322,18.26401,17.88041,17.60742,0.04488689,0.02079835,0.00671847,0.006230795,0.01620735
25,cw,21.10076,19.642570000000003,18.910729999999997,18.43345,18.16122,0.08398797,0.01209999,0.009666494,0.009316489,0.02874496
26,cw,21.59221,19.9827,19.10075,18.64555,18.44528,0.1321309,0.01388352,0.009847705,0.01070036,0.03618286
27,cw,20.55245,18.61701,17.63107,17.16907,16.820529999999998,0.04712936,0.0055102580000000005,0.0036040829999999997,0.0033973759999999997,0.01007605
28,cw,20.18311,18.478460000000002,17.66602,17.26634,16.9823,0.04202951,0.01459946,0.01075328,0.01086196,0.01139221
29,cw,19.68948,18.35664,17.71794,17.31223,17.08795,0.02953476,0.004972814,0.004405317,0.003814111,0.0121748
30,cw,21.026229999999998,19.30074,18.31288,17.798289999999998,17.42088,0.07607026,0.008999799000000001,0.005805305,0.0053057980000000005,0.0156347
31,cw,21.22534,19.69395,18.98658,18.559479999999997,18.3079,0.09660663,0.01162692,0.01153788,0.01145307,0.03199425
32,cw,21.11637,19.78025,18.919,18.471,18.185029999999998,0.07357596,0.01307441,0.008370372,0.009374733,0.02886862
33,cw,21.43616,19.66368,18.70934,18.269779999999997,17.93848,0.1164673,0.01202687,0.006944980999999999,0.008102533,0.02365241
34,cw,20.13982,18.66441,17.85258,17.401970000000002,17.10337,0.038299599999999996,0.005949055,0.00472077,0.004782873,0.01060659
35,cw,19.540329999999997,18.5235,18.0171,17.67597,17.510189999999998,0.02759696,0.0103697,0.009623622,0.01054524,0.0144484
36,cw,20.38015,18.712970000000002,17.90259,17.486829999999998,17.17696,0.04631806,0.00743915,0.004943434,0.0050939520000000005,0.01069045
37,cw,20.69181,18.999570000000002,18.23295,17.8637,17.55482,0.05864433,0.008113377,0.005380151999999999,0.006410886,0.01191126
38,cw,21.44005,19.95976,19.08681,18.65255,18.32905,0.07443341,0.01549677,0.01052543,0.0114744,0.02513954
39,cw,21.25453,19.76302,19.043020000000002,18.69144,18.4514,0.08304064,0.01495168,0.01018697,0.01149692,0.02799396
40,cw,20.84039,19.472170000000002,18.7717,18.34413,18.046120000000002,0.07339597,0.009852878,0.00846789,0.008716923,0.02073464
41,cw,21.0102,19.16086,18.25222,17.81436,17.50787,0.08960908,0.01100588,0.008342216999999999,0.007947264,0.01480149
42,cw,20.105710000000002,18.66741,17.9163,17.52276,17.23321,0.04080627,0.0064496959999999996,0.004509085,0.005040701,0.01152748
43,cw,20.112479999999998,19.05135,18.49474,18.11059,17.90993,0.03563233,0.008147857,0.007002413000000001,0.006806591999999999,0.01909906
44,cw,20.23422,18.50819,17.62813,17.13905,16.802529999999997,0.04148271,0.02709885,0.00443921,0.004071067,0.008641114
45,cw,20.55329,19.20436,18.38774,17.94566,17.638379999999998,0.05732838,0.01187624,0.008585513000000001,0.009937073000000001,0.01532407
46,cw,19.64549,17.78485,16.924210000000002,16.514,16.20288,0.02534354,0.003650767,0.0028162440000000003,0.0028054840000000004,0.005860858
47,cw,20.90165,19.28422,18.41937,17.92599,17.63148,0.07581119,0.009452295,0.0066224790000000006,0.006498864,0.01499905
48,cw,18.8557,18.22622,17.41412,17.16217,16.8867,0.01690363,0.00537484,0.004026982,0.004237384,0.008403416
49,cw,21.090310000000002,19.5832,18.81136,18.446479999999998,18.17738,0.08821779,0.01370377,0.009813787,0.01025705,0.02573742
50,cw,18.55808,17.29421,16.616410000000002,16.18355,15.803360000000001,0.01265076,0.0031424240000000004,0.002267216,0.002404609,0.004919721
51,cw,20.31275,18.3912,17.42199,16.95903,16.62125,0.04423483,0.005552212,0.003900126,0.003255903,0.008421225
52,cw,21.22051,19.648889999999998,18.6577,18.13927,17.78997,0.09194913,0.012879499999999999,0.008909899,0.008701450999999999,0.02076303
53,cw,21.05487,19.42003,18.62229,18.21021,17.895889999999998,0.07008092,0.0120755,0.00815441,0.009161536999999999,0.02039579
54,cw,20.46239,18.98178,18.139,17.68413,17.38063,0.05966314,0.008273792,0.006108891,0.0047378,0.01362669
55,cw,20.35664,18.84436,18.02131,17.607,17.294810000000002,0.05407530000000001,0.006908317,0.005073166,0.004692453,0.01139523
56,cw,21.47105,19.75667,18.7518,18.31341,17.96161,0.13513470000000002,0.01356582,0.009166904,0.008985537,0.01852437
57,cw,19.97814,18.195420000000002,17.3276,16.87752,16.52436,0.03710674,0.009908053,0.007308314000000001,0.008014675,0.007871813
58,cw,19.28915,17.603839999999998,16.80314,16.402179999999998,16.07604,0.02499157,0.003792018,0.002683333,0.002642313,0.007099825
59,cw,20.41495,19.076539999999998,18.33403,17.916829999999997,17.62988,0.05705981,0.008555660999999999,0.007222246,0.007178954,0.01822556
60,cw,21.14205,19.59742,18.748739999999998,18.314020000000003,17.96209,0.1006973,0.01245566,0.008750111999999999,0.00953251,0.02388905
61,cw,20.56879,19.05989,18.3617,18.036620000000003,17.76437,0.05447686,0.007969125,0.007797985,0.008630411,0.01939696
62,cw,19.5762,18.1994,17.491329999999998,17.11812,16.81837,0.02757532,0.007337693,0.006061395,0.005793609,0.01148923
63,cw,20.578020000000002,19.02321,18.21315,17.7791,17.4674,0.05515561,0.008272943,0.006263642,0.005698853,0.01531819
