,rotation,nProf_u,nProf_g,nProf_r,nProf_i,nProf_z
0,cw,10,10,10,10,10
1,cw,11,11,11,11,11
2,cw,10,10,10,10,10
3,cw,13,13,13,13,13
4,cw,11,11,11,11,11
5,cw,10,10,10,11,10
6,cw,10,10,10,10,10
7,cw,10,10,10,10,10
8,cw,10,10,10,10,10
9,cw,10,11,10,10,10
10,cw,11,11,10,10,10
11,cw,9,9,9,9,9
12,cw,10,10,10,11,11
13,cw,11,10,10,10,11
14,cw,10,10,10,10,10
15,cw,11,11,11,11,11
16,cw,11,9,9,10,9
17,cw,12,10,10,10,10
18,cw,12,12,12,12,12
19,cw,10,11,10,10,10
20,cw,10,10,10,10,10
21,cw,10,10,10,10,10
22,cw,10,10,9,10,10
23,cw,10,10,10,10,10
24,cw,11,11,11,11,11
25,cw,10,10,10,10,10
26,cw,9,9,9,9,9
27,cw,10,10,10,10,10
28,cw,11,11,11,11,11
29,cw,10,10,10,10,10
30,cw,10,10,10,10,10
31,cw,10,10,10,10,10
32,cw,9,9,9,9,9
33,cw,10,10,10,10,10
34,cw,10,11,10,10,10
35,cw,10,10,9,10,9
36,cw,11,11,11,11,11
37,cw,11,11,11,11,11
38,cw,9,10,9,9,9
39,cw,9,10,9,9,9
40,cw,9,10,9,9,10
41,cw,10,10,10,10,10
42,cw,11,11,11,11,11
43,cw,10,10,10,10,11
44,cw,11,11,11,11,11
45,cw,10,10,10,10,10
46,cw,11,11,11,11,11
47,cw,11,11,11,11,11
48,cw,12,12,12,12,12
49,cw,10,10,10,11,10
50,cw,11,11,11,11,11
51,cw,11,11,11,11,11
52,cw,10,10,10,10,11
53,cw,10,10,10,10,10
54,cw,10,10,10,10,10
55,cw,10,10,10,10,10
56,cw,10,10,10,10,10
57,cw,11,11,11,11,11
58,cw,11,11,11,11,11
59,cw,11,11,11,11,11
60,cw,10,10,10,10,10
61,cw,10,10,10,11,11
62,cw,11,11,11,11,11
63,cw,10,10,10,10,10
64,cw,10,10,10,10,10
65,cw,12,12,12,12,12
66,cw,10,10,10,10,10
67,cw,11,11,11,11,11
68,cw,10,10,10,10,10
69,cw,10,10,10,10,10
70,cw,11,11,11,11,11
71,cw,10,10,10,10,10
72,cw,10,10,10,10,10
73,cw,10,10,10,10,10
74,cw,9,11,9,9,9
75,cw,10,10,10,10,10
76,cw,11,11,11,11,11
77,cw,10,10,10,10,10
78,cw,9,10,9,9,9
79,cw,10,10,10,10,10
80,cw,10,10,10,10,10
81,cw,10,10,10,10,10
82,cw,10,10,10,10,10
83,cw,11,10,10,10,10
84,cw,10,10,10,10,10
85,cw,10,10,10,11,10
86,cw,11,10,10,10,10
87,cw,10,10,10,10,10
88,cw,10,10,10,10,10
89,cw,10,10,10,10,10
90,cw,10,10,10,10,10
91,cw,9,9,9,9,9
92,cw,11,11,11,11,11
93,cw,12,11,10,11,10
94,cw,10,10,10,10,10
95,cw,12,12,12,12,12
96,cw,10,10,10,10,10
97,cw,11,11,11,11,11
98,cw,9,9,9,9,9
99,cw,14,11,11,11,11
100,cw,10,10,10,10,10
101,cw,11,11,11,11,11
102,cw,11,11,11,11,11
103,cw,11,11,10,11,10
104,cw,10,10,10,10,10
105,cw,10,11,10,10,10
106,cw,10,11,10,10,10
107,cw,10,10,10,10,10
108,cw,10,10,10,10,10
109,cw,9,10,9,11,9
110,cw,10,10,10,10,10
111,cw,10,10,10,10,10
112,cw,11,10,10,10,10
113,cw,9,10,9,9,9
114,cw,10,10,10,10,10
115,cw,11,11,11,11,11
116,cw,10,10,10,10,11
117,cw,11,11,11,11,11
118,cw,10,10,10,10,10
119,cw,11,11,11,11,11
120,cw,11,11,11,11,11
121,cw,10,10,10,10,10
122,cw,10,10,10,10,10
123,cw,10,10,10,10,11
124,cw,11,11,11,11,11
125,cw,10,10,10,10,10
126,cw,11,11,11,11,11
127,cw,11,11,11,11,11
128,cw,11,10,10,10,10
129,cw,11,11,11,11,11
130,cw,12,12,12,12,12
131,cw,13,10,10,10,10
132,cw,11,11,11,11,11
133,cw,11,11,11,11,11
134,cw,11,11,11,11,11
135,cw,10,11,10,11,10
136,cw,11,11,11,11,11
137,cw,11,11,11,11,11
138,cw,11,10,10,10,10
139,cw,12,12,12,12,12
140,cw,11,11,11,11,11
141,cw,10,10,10,10,10
142,cw,10,10,10,10,10
143,cw,11,11,10,11,10
144,cw,11,11,11,11,11
145,cw,10,10,10,10,10
146,cw,10,11,10,11,10
147,cw,11,11,11,11,11
148,cw,10,10,10,10,10
149,cw,11,11,11,11,11
