Date,Run_Number,Num_Epochs_Tot,Train_Loss,Valid_Loss
34:00.3,0,0,,
37:00.5,1,20,0.032079038,0.075717901
40:54.7,2,40,0.023910004,0.079084908
43:18.2,3,60,0.02106117,0.078972086
45:32.1,4,80,0.021983477,0.083739888
47:34.2,5,100,0.021923423,0.080092999
49:32.1,6,120,0.021537312,0.084727785
51:23.5,7,140,0.021140139,0.091872975
53:18.6,8,160,0.021983731,0.096087028
55:29.8,9,180,0.021485673,0.110786043
57:17.4,10,200,0.021386048,0.100520762
58:59.0,11,220,0.020732879,0.111042777
00:45.6,12,240,0.02049108,0.08312351
02:28.1,13,260,0.020906139,0.089204497
04:08.0,14,280,0.02054428,0.094103876
06:03.9,15,300,0.020409371,0.091046275
08:13.8,16,320,0.020716252,0.080960062
09:59.5,17,340,0.020574061,0.082296208
12:10.9,18,360,0.020086121,0.077540371
14:01.2,19,380,0.02082263,0.093840187
15:43.6,20,400,0.020200829,0.08382641
17:37.8,21,420,0.021247395,0.085042862
19:21.6,22,440,0.021562189,0.086808423
21:08.2,23,460,0.021494547,0.118000477
22:52.3,24,480,0.021590894,0.094145331
24:35.9,25,500,0.021776387,0.099332801
26:38.8,26,520,0.021663656,0.100446454
28:15.9,27,540,0.021049396,0.10784291
29:55.4,28,560,0.022392906,0.094328985
31:38.4,29,580,0.023421934,0.091847087
33:26.1,30,600,0.023761106,0.102115712
35:11.2,31,620,0.022815484,0.100100296
36:58.2,32,640,0.024033564,0.090485126
38:43.8,33,660,0.024615437,0.096591077
40:32.6,34,680,0.02501634,0.088732759
42:21.6,35,700,0.02474922,0.086195643
44:13.8,36,720,0.026066259,0.079894623
46:05.8,37,740,0.026976499,0.084545
47:43.5,38,760,0.026976313,0.079153858
49:37.9,39,780,0.025933506,0.078042322
51:23.7,40,800,0.027329997,0.076727664
53:13.3,41,820,0.02589605,0.076381555
55:04.8,42,840,0.028843196,0.085498455
56:50.2,43,860,0.028410948,0.075420596
58:41.2,44,880,0.029345401,0.086367504
00:34.3,45,900,0.028584217,0.106937505
02:20.7,46,920,0.028849433,0.099856581
04:07.7,47,940,0.029511311,0.099764882
05:50.1,48,960,0.031487187,0.102407932
07:39.2,49,980,0.032972943,0.090835014
09:38.3,50,1000,0.032358478,0.083189279
11:23.7,51,1020,0.034201092,0.073653147
13:32.0,52,1040,0.034164512,0.085546786
15:26.1,53,1060,0.035496328,0.075553799
17:20.5,54,1080,0.035811356,0.086571955
19:22.9,55,1100,0.036515895,0.078957352
21:14.1,56,1120,0.037668158,0.080469913
23:29.6,57,1140,0.038620243,0.092669973
25:29.3,58,1160,0.040635059,0.076127965
27:32.5,59,1180,0.042818124,0.086627623
29:20.5,60,1200,0.043679125,0.080710685
31:11.3,61,1220,0.043305441,0.092188719
33:15.7,62,1240,0.045585775,0.094204448
35:22.5,63,1260,0.046535902,0.07465546
37:12.8,64,1280,0.04899824,0.078624233
39:10.5,65,1300,0.049324473,0.077267281
41:09.0,66,1320,0.050218175,0.072745468
43:08.4,67,1340,0.052047768,0.069339972
45:15.2,68,1360,0.050906533,0.069888445
47:16.7,69,1380,0.051098042,0.08512992
49:15.0,70,1400,0.049580198,0.068281363
51:13.0,71,1420,0.049686463,0.071788523
53:25.3,72,1440,0.051312587,0.07386753
55:48.9,73,1460,0.050883778,0.06884991
58:00.2,74,1480,0.050958651,0.075393041
00:05.1,75,1500,0.050552659,0.07237742
02:03.3,76,1520,0.05339743,0.070259009
04:02.9,77,1540,0.052559825,0.069734523
06:06.6,78,1560,0.053700643,0.066781265
08:19.5,79,1580,0.051994974,0.073016231
10:28.1,80,1600,0.054090894,0.068316608
12:33.7,81,1620,0.054681002,0.068222969
14:46.7,82,1640,0.055713588,0.064327239
16:53.5,83,1660,0.054788133,0.0718354
18:56.4,84,1680,0.056910702,0.067519011
21:07.3,85,1700,0.055571548,0.070461245
23:20.9,86,1720,0.058181635,0.06727734
25:38.8,87,1740,0.056053295,0.064848894
27:45.8,88,1760,0.054786947,0.070086628
29:50.4,89,1780,0.057604832,0.069175903
32:01.1,90,1800,0.058123057,0.068610555
34:10.7,91,1820,0.058858209,0.071334168
36:23.4,92,1840,0.058877026,0.068402059
38:37.5,93,1860,0.058105468,0.072000762
40:46.4,94,1880,0.055948797,0.071792261
43:01.3,95,1900,0.057018808,0.071619735
45:15.5,96,1920,0.058785418,0.069620693
47:30.1,97,1940,0.058076643,0.071558621
49:59.3,98,1960,0.058680052,0.071879922
52:17.3,99,1980,0.058169931,0.071913374
54:37.5,100,2000,0.059949908,0.077158169
56:53.9,101,2020,0.057794658,0.068188308
59:17.1,102,2040,0.058010847,0.075452826
01:32.0,103,2060,0.059800681,0.06849223
03:48.3,104,2080,0.058919104,0.07422946
06:08.1,105,2100,0.05851765,0.072006941
08:27.4,106,2120,0.057091,0.065922286
10:45.5,107,2140,0.057985013,0.06870114
13:10.6,108,2160,0.060342433,0.062910671
15:36.6,109,2180,0.058192446,0.073379424
17:56.0,110,2200,0.058146608,0.066621847
20:20.5,111,2220,0.05607286,0.072790293
22:47.3,112,2240,0.058208525,0.070688674
25:15.5,113,2260,0.056776294,0.072947481
27:56.8,114,2280,0.056736669,0.07151364
30:19.1,115,2300,0.057464387,0.074040378
32:51.8,116,2320,0.057964696,0.070711652
35:20.6,117,2340,0.055391085,0.068266412
37:46.2,118,2360,0.055534887,0.066643924
40:15.8,119,2380,0.056163183,0.067555237
42:45.5,120,2400,0.05952685,0.071811666
45:17.4,121,2420,0.059872046,0.086142549
47:59.0,122,2440,0.057466235,0.073636546
50:29.7,123,2460,0.055654459,0.072173945
53:04.2,124,2480,0.056146631,0.06945116
55:40.1,125,2500,0.058029486,0.079793642
58:20.7,126,2520,0.056507566,0.077518477
00:55.2,127,2540,0.057113873,0.079301515
03:33.6,128,2560,0.054933555,0.076978223
06:07.5,129,2580,0.057103378,0.08007744
08:41.2,130,2600,0.054421433,0.078906287
11:19.9,131,2620,0.056384535,0.079622759
13:52.0,132,2640,0.053707832,0.079958948
16:31.4,133,2660,0.056260242,0.096616616
19:12.4,134,2680,0.057366586,0.086785035
21:52.2,135,2700,0.055608326,0.099950786
24:36.7,136,2720,0.053616403,0.100926676
27:23.9,137,2740,0.05612911,0.091027591
30:12.7,138,2760,0.057764738,0.102345177
32:55.9,139,2780,0.05530209,0.098934895
35:31.2,140,2800,0.056197235,0.09873952
38:40.9,141,2820,0.054883325,0.105711006
41:28.7,142,2840,0.057529344,0.092313017
44:16.1,143,2860,0.054931779,0.089757937
46:55.2,144,2880,0.053337084,0.094938098
49:42.7,145,2900,0.05517138,0.092369218
52:37.8,146,2920,0.05625491,0.103788957
55:26.9,147,2940,0.057052252,0.101525191
58:12.2,148,2960,0.052477345,0.085893373
01:01.2,149,2980,0.053107341,0.095858458
03:51.4,150,3000,0.055663475,0.099120514
06:43.8,151,3020,0.056786563,0.091311068
09:33.5,152,3040,0.053800238,0.086985905
12:21.0,153,3060,0.053625071,0.103112253
15:14.9,154,3080,0.055566022,0.101830715
18:08.1,155,3100,0.056402207,0.099913024
20:59.1,156,3120,0.057341775,0.092530361
23:58.1,157,3140,0.054596836,0.083712269
26:56.0,158,3160,0.05595762,0.097845134
29:56.0,159,3180,0.057441541,0.089795656
32:54.6,160,3200,0.056056422,0.100130118
35:49.7,161,3220,0.056972529,0.09362922
38:43.7,162,3240,0.056855158,0.088093898
41:41.9,163,3260,0.054561826,0.097738216
44:39.3,164,3280,0.055883655,0.091576919
